census_block_id	category	sub_category	value	devices	sub_category_sort_order	unit
040130405402	Economic	Median HH Income	85815.0	1	1	dollar
040130405402	Economic	Median Home Value	335300.0	1	2	dollar
040130405402	Education	No HS	0.1817	1	1	percent
040130405402	Education	HS	0.2331	1	2	percent
040130405402	Education	Some College/2 Year	0.3987	1	3	percent
040130405402	Education	Bachelor	0.045	1	4	percent
040130405402	Education	Higher Degree	0.1415	1	5	percent
040130405402	Income	0-29K	0.081	1	1	percent
040130405402	Income	30-74K	0.3654	1	2	percent
040130405402	Income	75-99K	0.1789	1	3	percent
040130405402	Income	100-149K	0.3257	1	4	percent
040130405402	Income	150K+	0.0489	1	5	percent
040130405402	Race	African American	0.0	1	1	percent
040130405402	Race	Asian	0.0	1	2	percent
040130405402	Race	Hispanic	0.3149	1	3	percent
040130405402	Race	Other or Mixed	0.0	1	4	percent
040130405402	Race	White	0.6851	1	5	percent
040131138006	Population	Population	0	1	1	people
040131138006	Population	Median Age	-6.66666666E8	1	2	people
040131138006	Age	<18		1	1	percent
040131138006	Age	18-24		1	2	percent
040131138006	Age	25-34		1	3	percent
040131138006	Age	35-44		1	4	percent
040131138006	Age	45-54		1	5	percent
040131138006	Age	55-64		1	6	percent
040131138006	Age	65+		1	7	percent
040131138006	Economic	Median HH Income	-6.66666666E8	1	1	dollar
040131138006	Economic	Median Home Value	-6.66666666E8	1	2	dollar
040131138006	Education	No HS		1	1	percent
040131138006	Education	HS		1	2	percent
040131138006	Education	Some College/2 Year		1	3	percent
040131138006	Education	Bachelor		1	4	percent
040131138006	Education	Higher Degree		1	5	percent
040131138006	Income	0-29K		1	1	percent
040131138006	Income	30-74K		1	2	percent
040131138006	Income	75-99K		1	3	percent
040131138006	Income	100-149K		1	4	percent
040131138006	Income	150K+		1	5	percent
040131138006	Race	African American		1	1	percent
040131138006	Race	Asian		1	2	percent
040131138006	Race	Hispanic		1	3	percent
040131138006	Race	Other or Mixed		1	4	percent
040131138006	Race	White		1	5	percent
040131166171	Population	Population	1428	1	1	people
040131166171	Population	Median Age	39.5	1	2	people
040131166171	Age	<18	0.1246	1	1	percent
040131166171	Age	18-24	0.1022	1	2	percent
040131166171	Age	25-34	0.1751	1	3	percent
040131166171	Age	35-44	0.2913	1	4	percent
040131166171	Age	45-54	0.1176	1	5	percent
040131166171	Age	55-64	0.1015	1	6	percent
040131166171	Age	65+	0.0875	1	7	percent
040131166171	Economic	Median HH Income	84052.0	1	1	dollar
040131166171	Economic	Median Home Value	283100.0	1	2	dollar
040131166171	Education	No HS	0.096	1	1	percent
040131166171	Education	HS	0.1594	1	2	percent
040131166171	Education	Some College/2 Year	0.3297	1	3	percent
040131166171	Education	Bachelor	0.2382	1	4	percent
040131166171	Education	Higher Degree	0.1766	1	5	percent
040131166171	Income	0-29K	0.0262	1	1	percent
040131166171	Income	30-74K	0.4401	1	2	percent
040131166171	Income	75-99K	0.1067	1	3	percent
040131166171	Income	100-149K	0.3858	1	4	percent
040131166171	Income	150K+	0.0412	1	5	percent
040131166171	Race	African American	0.1169	1	1	percent
040131166171	Race	Asian	0.0343	1	2	percent
040131166171	Race	Hispanic	0.4482	1	3	percent
040131166171	Race	Other or Mixed	0.0651	1	4	percent
040131166171	Race	White	0.3354	1	5	percent
040132168191	Population	Population	2977	1	1	people
040132168191	Population	Median Age	55.8	1	2	people
040132168191	Age	<18	0.211	1	1	percent
040132168191	Age	18-24	0.0252	1	2	percent
040132168191	Age	25-34	0.038	1	3	percent
040132168191	Age	35-44	0.1421	1	4	percent
040132168191	Age	45-54	0.0652	1	5	percent
040132168191	Age	55-64	0.1925	1	6	percent
040132168191	Age	65+	0.3262	1	7	percent
040132168191	Economic	Median HH Income	98438.0	1	1	dollar
040132168191	Economic	Median Home Value	493800.0	1	2	dollar
040132168191	Education	No HS	0.018	1	1	percent
040132168191	Education	HS	0.1442	1	2	percent
040132168191	Education	Some College/2 Year	0.3109	1	3	percent
040132168191	Education	Bachelor	0.3386	1	4	percent
040132168191	Education	Higher Degree	0.1882	1	5	percent
040132168191	Income	0-29K	0.0813	1	1	percent
040132168191	Income	30-74K	0.3041	1	2	percent
040132168191	Income	75-99K	0.1238	1	3	percent
040132168191	Income	100-149K	0.1904	1	4	percent
040132168191	Income	150K+	0.3004	1	5	percent
040132168191	Race	African American	0.0	1	1	percent
040132168191	Race	Asian	0.0158	1	2	percent
040132168191	Race	Hispanic	0.0521	1	3	percent
040132168191	Race	Other or Mixed	0.0087	1	4	percent
040132168191	Race	White	0.9234	1	5	percent
040134202111	Population	Population	2131	1	1	people
040134202111	Population	Median Age	47.3	1	2	people
040134202111	Age	<18	0.183	1	1	percent
040134202111	Age	18-24	0.0657	1	2	percent
040134202111	Age	25-34	0.1042	1	3	percent
040134202111	Age	35-44	0.1201	1	4	percent
040134202111	Age	45-54	0.1197	1	5	percent
040134202111	Age	55-64	0.1586	1	6	percent
040134202111	Age	65+	0.2487	1	7	percent
040134202111	Economic	Median HH Income	87028.0	1	1	dollar
040134202111	Economic	Median Home Value	335400.0	1	2	dollar
040134202111	Education	No HS	0.0443	1	1	percent
040134202111	Education	HS	0.2567	1	2	percent
040134202111	Education	Some College/2 Year	0.4316	1	3	percent
040134202111	Education	Bachelor	0.1768	1	4	percent
040134202111	Education	Higher Degree	0.0906	1	5	percent
040134202111	Income	0-29K	0.105	1	1	percent
040134202111	Income	30-74K	0.2146	1	2	percent
040134202111	Income	75-99K	0.2489	1	3	percent
040134202111	Income	100-149K	0.3311	1	4	percent
040134202111	Income	150K+	0.1005	1	5	percent
040134202111	Race	African American	0.0394	1	1	percent
040134202111	Race	Asian	0.0164	1	2	percent
040134202111	Race	Hispanic	0.1093	1	3	percent
040134202111	Race	Other or Mixed	0.0277	1	4	percent
040134202111	Race	White	0.8071	1	5	percent
040159507053	Population	Population	1096	1	1	people
040159507053	Population	Median Age	45.7	1	2	people
040159507053	Age	<18	0.1542	1	1	percent
040159507053	Age	18-24	0.0547	1	2	percent
040159507053	Age	25-34	0.0849	1	3	percent
040159507053	Age	35-44	0.1524	1	4	percent
040159507053	Age	45-54	0.1697	1	5	percent
040159507053	Age	55-64	0.1907	1	6	percent
040159507053	Age	65+	0.1934	1	7	percent
040159507053	Economic	Median HH Income	34129.0	1	1	dollar
040159507053	Economic	Median Home Value	51200.0	1	2	dollar
040159507053	Education	No HS	0.1649	1	1	percent
040159507053	Education	HS	0.4141	1	2	percent
040159507053	Education	Some College/2 Year	0.2976	1	3	percent
040159507053	Education	Bachelor	0.1153	1	4	percent
040159507053	Education	Higher Degree	0.0081	1	5	percent
040159507053	Income	0-29K	0.4076	1	1	percent
040159507053	Income	30-74K	0.535	1	2	percent
040159507053	Income	75-99K	0.0467	1	3	percent
040159507053	Income	100-149K	0.0106	1	4	percent
040159507053	Income	150K+	0.0	1	5	percent
040159507053	Race	African American	0.0	1	1	percent
040159507053	Race	Asian	0.0	1	2	percent
040159507053	Race	Hispanic	0.0949	1	3	percent
040159507053	Race	Other or Mixed	0.0255	1	4	percent
040159507053	Race	White	0.8796	1	5	percent
040179617023	Population	Population	1124	1	1	people
040179617023	Population	Median Age	60.6	1	2	people
040179617023	Age	<18	0.1254	1	1	percent
040179617023	Age	18-24	0.0605	1	2	percent
040179617023	Age	25-34	0.1014	1	3	percent
040179617023	Age	35-44	0.0276	1	4	percent
040179617023	Age	45-54	0.0676	1	5	percent
040179617023	Age	55-64	0.2144	1	6	percent
040179617023	Age	65+	0.403	1	7	percent
040179617023	Economic	Median HH Income	37233.0	1	1	dollar
040179617023	Economic	Median Home Value	142700.0	1	2	dollar
040179617023	Education	No HS	0.035	1	1	percent
040179617023	Education	HS	0.3366	1	2	percent
040179617023	Education	Some College/2 Year	0.4295	1	3	percent
040179617023	Education	Bachelor	0.1355	1	4	percent
040179617023	Education	Higher Degree	0.0634	1	5	percent
040179617023	Income	0-29K	0.1321	1	1	percent
040179617023	Income	30-74K	0.592	1	2	percent
040179617023	Income	75-99K	0.0468	1	3	percent
040179617023	Income	100-149K	0.1271	1	4	percent
040179617023	Income	150K+	0.102	1	5	percent
040179617023	Race	African American	0.0	1	1	percent
040179617023	Race	Asian	0.024	1	2	percent
040179617023	Race	Hispanic	0.0881	1	3	percent
040179617023	Race	Other or Mixed	0.0276	1	4	percent
040179617023	Race	White	0.8603	1	5	percent
060014016002	Population	Population	927	1	1	people
060014016002	Population	Median Age	34.4	1	2	people
060014016002	Age	<18	0.2039	1	1	percent
060014016002	Age	18-24	0.0518	1	2	percent
060014016002	Age	25-34	0.2621	1	3	percent
060014016002	Age	35-44	0.1629	1	4	percent
060014016002	Age	45-54	0.1607	1	5	percent
060014016002	Age	55-64	0.1003	1	6	percent
060014016002	Age	65+	0.0583	1	7	percent
060014016002	Economic	Median HH Income	66953.0	1	1	dollar
060014016002	Economic	Median Home Value	787500.0	1	2	dollar
060014016002	Education	No HS	0.1203	1	1	percent
060014016002	Education	HS	0.1594	1	2	percent
060014016002	Education	Some College/2 Year	0.2667	1	3	percent
060014016002	Education	Bachelor	0.3174	1	4	percent
060014016002	Education	Higher Degree	0.1362	1	5	percent
060014016002	Income	0-29K	0.1627	1	1	percent
060014016002	Income	30-74K	0.4197	1	2	percent
060014016002	Income	75-99K	0.0642	1	3	percent
060014016002	Income	100-149K	0.1049	1	4	percent
060014016002	Income	150K+	0.2484	1	5	percent
060014016002	Race	African American	0.4865	1	1	percent
060014016002	Race	Asian	0.1025	1	2	percent
060014016002	Race	Hispanic	0.109	1	3	percent
060014016002	Race	Other or Mixed	0.0906	1	4	percent
060014016002	Race	White	0.2114	1	5	percent
060014040003	Population	Population	921	1	1	people
060014040003	Population	Median Age	36.7	1	2	people
060014040003	Age	<18	0.1759	1	1	percent
060014040003	Age	18-24	0.0445	1	2	percent
060014040003	Age	25-34	0.2476	1	3	percent
060014040003	Age	35-44	0.1889	1	4	percent
060014040003	Age	45-54	0.1542	1	5	percent
060014040003	Age	55-64	0.0782	1	6	percent
060014040003	Age	65+	0.1107	1	7	percent
060014040003	Economic	Median HH Income	70556.0	1	1	dollar
060014040003	Economic	Median Home Value	651900.0	1	2	dollar
060014040003	Education	No HS	0.0167	1	1	percent
060014040003	Education	HS	0.0348	1	2	percent
060014040003	Education	Some College/2 Year	0.2382	1	3	percent
060014040003	Education	Bachelor	0.4373	1	4	percent
060014040003	Education	Higher Degree	0.273	1	5	percent
060014040003	Income	0-29K	0.0	1	1	percent
060014040003	Income	30-74K	0.5346	1	2	percent
060014040003	Income	75-99K	0.0411	1	3	percent
060014040003	Income	100-149K	0.1126	1	4	percent
060014040003	Income	150K+	0.3117	1	5	percent
060014040003	Race	African American	0.0988	1	1	percent
060014040003	Race	Asian	0.1227	1	2	percent
060014040003	Race	Hispanic	0.1737	1	3	percent
060014040003	Race	Other or Mixed	0.0912	1	4	percent
060014040003	Race	White	0.5136	1	5	percent
060014354002	Population	Population	1160	1	1	people
060014354002	Population	Median Age	33.7	1	2	people
060014354002	Age	<18	0.1759	1	1	percent
060014354002	Age	18-24	0.0517	1	2	percent
060014354002	Age	25-34	0.3086	1	3	percent
060014354002	Age	35-44	0.081	1	4	percent
060014354002	Age	45-54	0.0828	1	5	percent
060014354002	Age	55-64	0.1707	1	6	percent
060014354002	Age	65+	0.1293	1	7	percent
060014354002	Economic	Median HH Income	85521.0	1	1	dollar
060014354002	Economic	Median Home Value	598200.0	1	2	dollar
060014354002	Education	No HS	0.1306	1	1	percent
060014354002	Education	HS	0.3103	1	2	percent
060014354002	Education	Some College/2 Year	0.3493	1	3	percent
060014354002	Education	Bachelor	0.0993	1	4	percent
060014354002	Education	Higher Degree	0.1105	1	5	percent
060014354002	Income	0-29K	0.3514	1	1	percent
060014354002	Income	30-74K	0.1155	1	2	percent
060014354002	Income	75-99K	0.1499	1	3	percent
060014354002	Income	100-149K	0.1892	1	4	percent
060014354002	Income	150K+	0.1941	1	5	percent
060014354002	Race	African American	0.0664	1	1	percent
060014354002	Race	Asian	0.3	1	2	percent
060014354002	Race	Hispanic	0.3284	1	3	percent
060014354002	Race	Other or Mixed	0.0871	1	4	percent
060014354002	Race	White	0.2181	1	5	percent
060014357003	Population	Population	1296	1	1	people
060014357003	Population	Median Age	47.1	1	2	people
060014357003	Age	<18	0.061	1	1	percent
060014357003	Age	18-24	0.1752	1	2	percent
060014357003	Age	25-34	0.1721	1	3	percent
060014357003	Age	35-44	0.044	1	4	percent
060014357003	Age	45-54	0.213	1	5	percent
060014357003	Age	55-64	0.1528	1	6	percent
060014357003	Age	65+	0.1821	1	7	percent
060014357003	Economic	Median HH Income	99028.0	1	1	dollar
060014357003	Economic	Median Home Value	647800.0	1	2	dollar
060014357003	Education	No HS	0.1343	1	1	percent
060014357003	Education	HS	0.3455	1	2	percent
060014357003	Education	Some College/2 Year	0.3525	1	3	percent
060014357003	Education	Bachelor	0.1333	1	4	percent
060014357003	Education	Higher Degree	0.0343	1	5	percent
060014357003	Income	0-29K	0.0188	1	1	percent
060014357003	Income	30-74K	0.3412	1	2	percent
060014357003	Income	75-99K	0.1482	1	3	percent
060014357003	Income	100-149K	0.1341	1	4	percent
060014357003	Income	150K+	0.3576	1	5	percent
060014357003	Race	African American	0.0208	1	1	percent
060014357003	Race	Asian	0.1327	1	2	percent
060014357003	Race	Hispanic	0.392	1	3	percent
060014357003	Race	Other or Mixed	0.135	1	4	percent
060014357003	Race	White	0.3194	1	5	percent
060290032123	Population	Population	2206	1	1	people
060290032123	Population	Median Age	27.7	1	2	people
060290032123	Age	<18	0.3862	1	1	percent
060290032123	Age	18-24	0.0186	1	2	percent
060290032123	Age	25-34	0.1482	1	3	percent
060290032123	Age	35-44	0.1673	1	4	percent
060290032123	Age	45-54	0.1061	1	5	percent
060290032123	Age	55-64	0.0888	1	6	percent
